regulation_short_code,gazette_number,pdf_filename,page_count,size_kb,status,extraction_method,extracted_at,notes
2468_44,2468/44,2468_44.pdf,3,753,extracted,claude_code_visual_read,2026-05-18T06:30:00+05:30,in m1_regulations_v6.csv
2469_18,2469/18,2469_18.pdf,3,139,extracted,claude_code_visual_read,2026-05-18T06:30:00+05:30,in m1_regulations_v6.csv
2469_19,2469/19,2469_19.pdf,1,203,extracted,claude_code_visual_read,2026-05-18T06:30:00+05:30,in m1_regulations_v6.csv
2469_20,2469/20,2469_20.pdf,26,923,extracted,pdfplumber+claude_classify,2026-05-18T09:14:10+05:30,in m1_regulations_next50_batch4.csv (batch 4)
2469_21,2469/21,2469_21.pdf,5,207,extracted,pdfplumber+claude_classify,2026-05-18T08:21:33+05:30,in m1_regulations_next50.csv (batch 1)
2469_22,2469/22,2469_22.pdf,8,781,extracted,pdfplumber+claude_classify,2026-05-18T08:27:41+05:30,in m1_regulations_next50_batch2.csv (batch 2)
2469_23,2469/23,2469_23.pdf,8,725,extracted,pdfplumber+claude_classify,2026-05-18T08:27:41+05:30,in m1_regulations_next50_batch2.csv (batch 2)
2469_24,2469/24,2469_24.pdf,2,191,extracted,claude_code_visual_read,2026-05-18T06:30:00+05:30,in m1_regulations_v6.csv
2469_25,2469/25,2469_25.pdf,11,744,extracted,pdfplumber+claude_classify,2026-05-18T08:51:34+05:30,in m1_regulations_next50_batch3.csv (batch 3)
2469_26,2469/26,2469_26.pdf,2,197,extracted,claude_code_visual_read,2026-05-18T06:30:00+05:30,in m1_regulations_v6.csv
2469_27,2469/27,2469_27.pdf,2,189,extracted,claude_code_visual_read,2026-05-18T06:30:00+05:30,in m1_regulations_v6.csv
2469_28,2469/28,2469_28.pdf,2,255,extracted,claude_code_visual_read,2026-05-18T06:30:00+05:30,in m1_regulations_v6.csv
2469_30,2469/30,2469_30.pdf,11,802,extracted,pdfplumber+claude_classify,2026-05-18T08:51:34+05:30,in m1_regulations_next50_batch3.csv (batch 3)
2469_31,2469/31,2469_31.pdf,5,765,extracted,pdfplumber+claude_classify,2026-05-18T08:21:33+05:30,in m1_regulations_next50.csv (batch 1)
2469_32,2469/32,2469_32.pdf,24,910,extracted,pdfplumber+claude_classify,2026-05-18T09:14:10+05:30,in m1_regulations_next50_batch4.csv (batch 4)
