"regulation_short_code","gazette_number","pdf_filename","page_count","size_kb","status","extraction_method","extracted_at","notes"
"2482_10","2482/10","2482_10.pdf","4","169","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2482_11","2482/11","2482_11.pdf","16","348","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2482_12","2482/12","2482_12.pdf","2","266","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2482_18","2482/18","2482_18.pdf","13","701","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2482_26","2482/26","2482_26.pdf","4","652","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2482_29","2482/29","2482_29.pdf","2","657","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2482_33","2482/33","2482_33.pdf","2","158","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2482_37","2482/37","2482_37.pdf","7","632","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2482_42","2482/42","2482_42.pdf","7","610","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2483_01","2483/01","2483_01.pdf","3","226","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2483_02","2483/02","2483_02.pdf","2","258","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2483_03","2483/03","2483_03.pdf","1","236","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2483_04","2483/04","2483_04.pdf","1","178","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2483_05","2483/05","2483_05.pdf","1","174","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2483_06","2483/06","2483_06.pdf","1","647","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2483_07","2483/07","2483_07.pdf","2","187","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2483_12","2483/12","2483_12.pdf","2","198","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2483_13","2483/13","2483_13.pdf","1","204","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2483_14","2483/14","2483_14.pdf","2","208","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2483_15","2483/15","2483_15.pdf","2","200","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2483_16","2483/16","2483_16.pdf","1","179","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2483_17","2483/17","2483_17.pdf","4","286","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_18","2483/18","2483_18.pdf","4","305","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_19","2483/19","2483_19.pdf","4","292","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_20","2483/20","2483_20.pdf","4","212","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_21","2483/21","2483_21.pdf","4","282","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_22","2483/22","2483_22.pdf","5","316","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2483_23","2483/23","2483_23.pdf","4","236","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_24","2483/24","2483_24.pdf","5","353","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2483_25","2483/25","2483_25.pdf","5","340","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2483_26","2483/26","2483_26.pdf","4","227","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_27","2483/27","2483_27.pdf","4","257","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
