"regulation_short_code","gazette_number","pdf_filename","page_count","size_kb","status","extraction_method","extracted_at","notes"
"2468_44","2468/44","2468_44.pdf","3","753","extracted","claude_code_visual_read","2026-05-18T04:10:00+05:30","in m1_regulations_v2.csv"
"2469_18","2469/18","2469_18.pdf","3","139","extracted","claude_code_visual_read","2026-05-18T04:10:00+05:30","in m1_regulations_v2.csv"
"2469_19","2469/19","2469_19.pdf","1","203","extracted","claude_code_visual_read","2026-05-18T04:10:00+05:30","in m1_regulations_v2.csv"
"2469_20","2469/20","2469_20.pdf","26","923","pending","","",""
"2469_21","2469/21","2469_21.pdf","5","207","pending","","",""
"2469_22","2469/22","2469_22.pdf","8","781","pending","","",""
"2469_23","2469/23","2469_23.pdf","8","725","pending","","",""
"2469_24","2469/24","2469_24.pdf","2","191","pending","","",""
"2469_25","2469/25","2469_25.pdf","11","744","pending","","",""
"2469_26","2469/26","2469_26.pdf","2","197","pending","","",""
"2469_27","2469/27","2469_27.pdf","2","189","pending","","",""
"2469_28","2469/28","2469_28.pdf","2","255","pending","","",""
"2469_30","2469/30","2469_30.pdf","11","802","pending","","",""
"2469_31","2469/31","2469_31.pdf","5","765","pending","","",""
"2469_32","2469/32","2469_32.pdf","24","910","pending","","",""
"2469_33","2469/33","2469_33.pdf","2","639","pending","","",""
"2469_34","2469/34","2469_34.pdf","8","697","pending","","",""
"2469_35","2469/35","2469_35.pdf","5","740","pending","","",""
"2469_36","2469/36","2469_36.pdf","1","251","pending","","",""
"2469_37","2469/37","2469_37.pdf","2","244","pending","","",""
"2469_38","2469/38","2469_38.pdf","10","261","pending","","",""
"2469_39","2469/39","2469_39.pdf","4","196","pending","","",""
"2469_40","2469/40","2469_40.pdf","5","766","pending","","",""
"2470_01","2470/01","2470_01.pdf","3","122","pending","","",""
"2470_02","2470/02","2470_02.pdf","2","670","pending","","",""
"2470_04","2470/04","2470_04.pdf","1","176","extracted","claude_code_visual_read","2026-05-18T04:10:00+05:30","in m1_regulations_v2.csv"
"2470_05","2470/05","2470_05.pdf","1","175","extracted","claude_code_visual_read","2026-05-18T04:10:00+05:30","in m1_regulations_v2.csv"
"2470_06","2470/06","2470_06.pdf","3","186","pending","","",""
"2470_08","2470/08","2470_08.pdf","2","663","pending","","",""
"2470_09","2470/09","2470_09.pdf","7","688","pending","","",""
"2470_10","2470/10","2470_10.pdf","4","198","pending","","",""
"2470_11","2470/11","2470_11.pdf","9","717","pending","","",""
"2470_12","2470/12","2470_12.pdf","5","241","pending","","",""
"2470_13","2470/13","2470_13.pdf","1","239","pending","","",""
"2470_14","2470/14","2470_14.pdf","2","203","pending","","",""
"2470_15","2470/15","2470_15.pdf","1","162","extracted","claude_code_visual_read","2026-05-18T04:10:00+05:30","in m1_regulations_v2.csv"
"2470_16","2470/16","2470_16.pdf","2","194","pending","","",""
"2470_17","2470/17","2470_17.pdf","2","192","pending","","",""
"2470_18","2470/18","2470_18.pdf","2","324","pending","","",""
"2470_19","2470/19","2470_19.pdf","25","624","pending","","",""
"2470_20","2470/20","2470_20.pdf","1","302","pending","","",""
