"regulation_id","regulation_short_code","document_type","document_number","title_en","title_si","title_ta","summary_en","summary_si","summary_ta","principal_act_amended","cabinet_approval_date","bill_published_date","gazette_published_date","effective_date","domain_code","change_category","severity_level","is_sme_relevant","penalty_range_lkr","real_world_example_en","real_world_example_si","real_world_example_ta","source_url","expert_verified","expert_verified_by","expert_verified_at","sme_relevance_confidence","is_active","status","raw_pdf_path","gazette_number","raw_text","extraction_method","extracted_at","cleaned_text","amendment_type","created_at","updated_at"
"0d0f7124-f18c-4f0a-87ef-bf2c3c5b8636","2476_45","extraordinary_gazette","2476/45","Title Registration Act, No. 21 of 1998, Section 14 — Commissioner of Title Settlement's decision under Section 14 (Gazette 2476/45)","1998 අංක 21 දරන හිමිකම් ලියාපදිංචි කිරීමේ පනත - හිමිකම් සැකසුම් කොමසාරිස්ගේ තීරණය","1998 ஆம் ஆண்டின் 21 ஆம் இலக்க உரித்துப் பதிவுச் சட்டம் - உரித்து நிர்ணய ஆணையாளரின் தீர்மானம்","Commissioner of title settlement's decision under section 14 published under the Title Registration Act, No. 21 of 1998 for specified land parcels identified by Cadastral Map and Grama Niladhari Division. Part III — Lands. Issued from the Land Title Settlement Department, Battaramulla.","","","Title Registration Act, No. 21 of 1998","","2026-02-21","2026-02-21","2026-02-21","lands","procedural_change","2","False","","","","","https://www.documents.gov.lk","False","","","","True","extracted","m1/raw/2476_45.pdf","2476/45","","pdfplumber","2026-05-18T09:14:10Z","","","2026-05-18T09:14:10Z","2026-05-18T09:14:10Z"
"49fed7e7-d227-4ba4-9eee-3dd977ae6588","2471_30","extraordinary_gazette","2471/30","Title Registration Act, No. 21 of 1998, Section 14 — Commissioner of Title Settlement's decision under Section 14 (Gazette 2471/30)","1998 අංක 21 දරන හිමිකම් ලියාපදිංචි කිරීමේ පනත - හිමිකම් සැකසුම් කොමසාරිස්ගේ තීරණය","1998 ஆம் ஆண்டின் 21 ஆம் இலக்க உரித்துப் பதிவுச் சட்டம் - உரித்து நிர்ணய ஆணையாளரின் தீர்மானம்","Commissioner of title settlement's decision under section 14 published under the Title Registration Act, No. 21 of 1998 for specified land parcels identified by Cadastral Map and Grama Niladhari Division. Part III — Lands. Issued from the Land Title Settlement Department, Battaramulla.","","","Title Registration Act, No. 21 of 1998","","2026-01-13","2026-01-13","2026-01-13","lands","procedural_change","2","False","","","","","https://www.documents.gov.lk","False","","","","True","extracted","m1/raw/2471_30.pdf","2471/30","","pdfplumber","2026-05-18T09:14:10Z","","","2026-05-18T09:14:10Z","2026-05-18T09:14:10Z"
"0cb2daae-0916-4ef5-b294-9e8f6605df40","2471_41","extraordinary_gazette","2471/41","Title Registration Act, No. 21 of 1998, Section 14 — Commissioner of Title Settlement's decision under Section 14 (Gazette 2471/41)","1998 අංක 21 දරන හිමිකම් ලියාපදිංචි කිරීමේ පනත - හිමිකම් සැකසුම් කොමසාරිස්ගේ තීරණය","1998 ஆம் ஆண்டின் 21 ஆம் இலக்க உரித்துப் பதிவுச் சட்டம் - உரித்து நிர்ணய ஆணையாளரின் தீர்மானம்","Commissioner of title settlement's decision under section 14 published under the Title Registration Act, No. 21 of 1998 for specified land parcels identified by Cadastral Map and Grama Niladhari Division. Part III — Lands. Issued from the Land Title Settlement Department, Battaramulla.","","","Title Registration Act, No. 21 of 1998","","2026-01-14","2026-01-14","2026-01-14","lands","procedural_change","2","False","","","","","https://www.documents.gov.lk","False","","","","True","extracted","m1/raw/2471_41.pdf","2471/41","","pdfplumber","2026-05-18T09:14:10Z","","","2026-05-18T09:14:10Z","2026-05-18T09:14:10Z"
"449d4674-915f-4fb4-a69a-ad6ea98855c9","2471_51","extraordinary_gazette","2471/51","Sri Lanka Anti-Doping Agency Act, No. 33 of 2013 — Anti-doping regulation (Gazette 2471/51)","2013 අංක 33 දරන ක්‍රීඩාවල යෙදීදී උත්තේතේජක ද්‍රවය ගැනීමට එරෙහි සම්මුති පනත - උත්තේතේජක ද්‍රවය නියාමන","2013 ஆம் ஆண்டின் 33 ஆம் இலக்க இலங்கை ஊக்க மருந்து எதிர்ப்பு முகவராண்மை சட்டம் - ஊக்க மருந்து ஒழுங்குமுறை","Notice under the Sri Lanka Anti-Doping Agency Act, No. 33 of 2013 (as amended by Act No. 21 of 2025) covering anti-doping rules and prohibited-substance lists for sport.","","","Sri Lanka Anti-Doping Agency Act, No. 33 of 2013","","2026-01-16","2026-01-16","2026-01-16","welfare","new_obligation","2","False","","","","","https://www.documents.gov.lk","False","","","","True","extracted","m1/raw/2471_51.pdf","2471/51","","pdfplumber","2026-05-18T09:14:10Z","","","2026-05-18T09:14:10Z","2026-05-18T09:14:10Z"
"de823dee-d378-4b12-83db-9a7869cc8984","2472_21","extraordinary_gazette","2472/21","Parliamentary Elections Act, No. 1 of 1981 — Election Commission direction (Gazette 2472/21)","1981 අංක 1 දරන පාර්ලිමේන්තු මැතිවරණ පනත - මැතිවරණ කොමිෂන් සභා නියම","1981 ஆம் ஆண்டின் 1 ஆம் இலக்க பாராளுமன்றத் தேர்தல்கள் சட்டம் - தேர்தல்கள் ஆணைக்குழுவின் பணிப்புரை","Direction issued under Section 8(9) of the Parliamentary Elections Act, No. 1 of 1981 by the Election Commission covering recognised political party requirements, voting, or candidate qualifications.","","","Parliamentary Elections Act, No. 1 of 1981","","2026-01-21","2026-01-21","2026-01-21","elections","procedural_change","1","False","","","","","https://www.documents.gov.lk","False","","","","True","extracted","m1/raw/2472_21.pdf","2472/21","","pdfplumber","2026-05-18T09:14:10Z","","","2026-05-18T09:14:10Z","2026-05-18T09:14:10Z"
"00f84135-c485-401c-a6c0-248f6f883037","2474_28","extraordinary_gazette","2474/28","Title Registration Act, No. 21 of 1998, Section 14 — Commissioner of Title Settlement's decision under Section 14 (Gazette 2474/28)","1998 අංක 21 දරන හිමිකම් ලියාපදිංචි කිරීමේ පනත - හිමිකම් සැකසුම් කොමසාරිස්ගේ තීරණය","1998 ஆம் ஆண்டின் 21 ஆம் இலக்க உரித்துப் பதிவுச் சட்டம் - உரித்து நிர்ணய ஆணையாளரின் தீர்மானம்","Commissioner of title settlement's decision under section 14 published under the Title Registration Act, No. 21 of 1998 for specified land parcels identified by Cadastral Map and Grama Niladhari Division. Part III — Lands. Issued from the Land Title Settlement Department, Battaramulla.","","","Title Registration Act, No. 21 of 1998","","2026-02-03","2026-02-03","2026-02-03","lands","procedural_change","2","False","","","","","https://www.documents.gov.lk","False","","","","True","extracted","m1/raw/2474_28.pdf","2474/28","","pdfplumber","2026-05-18T09:14:10Z","","","2026-05-18T09:14:10Z","2026-05-18T09:14:10Z"
"fa8a1648-94b9-47ac-a24c-03ce7666b7e5","2475_21","extraordinary_gazette","2475/21","Title Registration Act, No. 21 of 1998, Section 14 — Commissioner of Title Settlement's decision under Section 14 (Gazette 2475/21)","1998 අංක 21 දරන හිමිකම් ලියාපදිංචි කිරීමේ පනත - හිමිකම් සැකසුම් කොමසාරිස්ගේ තීරණය","1998 ஆம் ஆண்டின் 21 ஆம் இலக்க உரித்துப் பதிவுச் சட்டம் - உரித்து நிர்ணய ஆணையாளரின் தீர்மானம்","Commissioner of title settlement's decision under section 14 published under the Title Registration Act, No. 21 of 1998 for specified land parcels identified by Cadastral Map and Grama Niladhari Division. Part III — Lands. Issued from the Land Title Settlement Department, Battaramulla.","","","Title Registration Act, No. 21 of 1998","","2026-02-11","2026-02-11","2026-02-11","lands","procedural_change","2","False","","","","","https://www.documents.gov.lk","False","","","","True","extracted","m1/raw/2475_21.pdf","2475/21","","pdfplumber","2026-05-18T09:14:10Z","","","2026-05-18T09:14:10Z","2026-05-18T09:14:10Z"
"aca6d3f9-840b-4b5c-b225-c7572fe8bf6c","2476_18","extraordinary_gazette","2476/18","Ministry of Education — Sri Lanka Teachers Service competitive examination notice (Gazette 2476/18)","අධ්‍යාපන, උසස් අධ්‍යාපන සහ වෘත්තීය අධ්‍යාපන අමාත්‍යාංශය - ශ්‍රී ලංකා ගුරු සේවයට බඳවා ගැනීමේ තරග විභාගය","கல்வி, உயர்கல்வி மற்றும் தொழிற்கல்வி அமைச்சு - இலங்கை ஆசிரியர் சேவை போட்டிப் பரீட்சை","Notice from the Ministry of Education, Higher Education and Vocational Education regarding the Sri Lanka Teachers Service competitive recruitment examination — vacancies in Sinhala / Tamil / English medium teaching posts in national and provincial schools. Part I — General.","","","","","2026-02-18","2026-02-18","2026-02-18","welfare","registration_change","1","False","","","","","https://www.documents.gov.lk","False","","","","True","extracted","m1/raw/2476_18.pdf","2476/18","","pdfplumber","2026-05-18T09:14:10Z","","","2026-05-18T09:14:10Z","2026-05-18T09:14:10Z"
"8a8dc206-ea49-4b66-947c-d799f94aa7d4","2471_65","extraordinary_gazette","2471/65","Title Registration Act, No. 21 of 1998, Section 14 — Commissioner of Title Settlement's decision under Section 14 (Gazette 2471/65)","1998 අංක 21 දරන හිමිකම් ලියාපදිංචි කිරීමේ පනත - හිමිකම් සැකසුම් කොමසාරිස්ගේ තීරණය","1998 ஆம் ஆண்டின் 21 ஆம் இலக்க உரித்துப் பதிவுச் சட்டம் - உரித்து நிர்ணய ஆணையாளரின் தீர்மானம்","Commissioner of title settlement's decision under section 14 published under the Title Registration Act, No. 21 of 1998 for specified land parcels identified by Cadastral Map and Grama Niladhari Division. Part III — Lands. Issued from the Land Title Settlement Department, Battaramulla.","","","Title Registration Act, No. 21 of 1998","","2026-01-16","2026-01-16","2026-01-16","lands","procedural_change","2","False","","","","","https://www.documents.gov.lk","False","","","","True","extracted","m1/raw/2471_65.pdf","2471/65","","pdfplumber","2026-05-18T09:14:10Z","","","2026-05-18T09:14:10Z","2026-05-18T09:14:10Z"
"7d03abc6-6538-421d-a282-200270e47e4d","2471_68","extraordinary_gazette","2471/68","Lands notice — Extraordinary Gazette 2471/68 (Part III)","ඉඩම් සම්බන්ධ අතිවිශේෂ ගැසට් පත්‍ර දැන්වීම","காணி தொடர்பான அதி விசேட வர்த்தமான அறிவித்தல்","Lands-related extraordinary gazette notice (Part III). See raw_text for full content; specific statute attribution pending manual verification.","","","","","2026-01-17","2026-01-17","2026-01-17","lands","procedural_change","2","False","","","","","https://www.documents.gov.lk","False","","","","True","extracted","m1/raw/2471_68.pdf","2471/68","","pdfplumber","2026-05-18T09:14:10Z","","","2026-05-18T09:14:10Z","2026-05-18T09:14:10Z"
