Gazette_No,Date,Description,Expected_Filename,Status,Notes
2477/47,02/28/2026,"President Secretarial - Essential Public Services Act, No. 61 of 1979",2477_47.pdf,Downloaded,
2468/44,02/27/2026,"Land Title Settlement Dept -Laksauyana, Thamankaduwa D/S/D, Polonnaruwa District (25/14-204-00131)",2468_44.pdf,Downloaded,
2477/40,02/27/2026,Election Commission - Order under Article 98 (8),2477_40.pdf,Downloaded,
2477/41,02/27/2026,Presidential Secretariat - The Public Security Ordinance Call out with effect from 27.02.2026 All the Members of the Armed Forces,2477_41.pdf,Downloaded,
2477/42,02/27/2026,Election Commission - Filling the Vacancy in the Office of Member of the Manthai East Pradeshiya Sabha,2477_42.pdf,Downloaded,
2477/43,02/27/2026,"Ministry of Public Security and Parliament Affairs - Drug Dependent Person (Treatment and Rehabilitation) Act, No. 54 of 2007 order under Section 2",2477_43.pdf,Downloaded,
2477/44,02/27/2026,National Physical Planning Department - Declaring the Updated Anuradhapura Sacred Area Development Plan,2477_44.pdf,Downloaded,
2477/36,02/26/2026,"Land Acquisition - Medapitiya, Doluwa D/S/D, Kandy District. Amendment, Mirigama",2477_36.pdf,Downloaded,
2477/37,02/26/2026,"Land Acquisition - Dambawinna, Welimada D/S/D, Badulla District.",2477_37.pdf,Downloaded,
2477/38,02/26/2026,District Secretariat - Galle - Pilgrimages Ordinance The Annual Sri Maha Dodhiraja Procession of Sri Shasanalankararama Ancient Temple of Galle,2477_38.pdf,Downloaded,
2477/39,02/26/2026,Presidential Secretariat - Appointed Mr. Susiripala Manawadu as the Governor of the Southern Province w.e.f. 24.02.2026.,2477_39.pdf,Downloaded,
2477/32,02/25/2026,Department of Local Government - Eastern Province - Summon the Re-Calling Meeting to Fill the Vacancy Arose to the Post of Chairman of Chairman of The Ninthavuv P.S,2477_32.pdf,Downloaded,
2477/33,02/25/2026,Elections Commission - Filling of a Vacancy in the Office of Member of the Bingiriya P.S,2477_33.pdf,Downloaded,
2477/34,02/25/2026,Department of Trade and Investment Policy - Revenue Protection Order No. 02/2025,2477_34.pdf,Downloaded,
2477/35,02/25/2026,Presidential Secretariat - 75th Anniversary of the Sri Lanka Air Force.,2477_35.pdf,Downloaded,
2477/21,02/24/2026,"Department of Fiscal Policy - The Inland Revenue Act, No 24 of 2017 - Sukhitha Welfare Society",2477_21.pdf,Downloaded,
2477/22,02/24/2026,Department of Fiscal Policy - Stamp Duty ( Special Provisions ) Act No 12 of 2006,2477_22.pdf,Downloaded,
2477/23,02/24/2026,Department of Census and Statistics - National Consumer Price Index - January 2026,2477_23.pdf,Downloaded,
2477/24,02/24/2026,"Land Title Settlement Dept - Lolugaswewa, Medawachchiya D/S/D, Anuradhapura District ( 26/1200016)",2477_24.pdf,Downloaded,
2477/25,02/24/2026,"Land Title settlement Dept - Madagalla, Polpithigama D/S/D, Kurunegala District (26/1200014)",2477_25.pdf,Downloaded,
2477/26,02/24/2026,"Land Title Settlement Dept- Rathmale, Horowpothana D/S/D, Anuradhapura District ( 26/1200009)",2477_26.pdf,Downloaded,
2477/27,02/24/2026,"Land Title Settlement Dept - Karadipuwal, Wanathawilluwa D/S/D, Puttalam District ( 26/120008)",2477_27.pdf,Downloaded,
2477/28,02/24/2026,"Land Title Settlement Dept - Jeewana, Galigamuwa, D/S/D, Kegalle District ( 25/0541)",2477_28.pdf,Downloaded,
2477/29,02/24/2026,"Land Title Settlement Dept - Suwarapola, Kesbewa D/S/D, Colombo District ( 25/0505)",2477_29.pdf,Downloaded,
2477/30,02/24/2026,Elections Commission - Filling of a vacancy in the Office of Member of the Colombo Municipal Council.,2477_30.pdf,Downloaded,
2477/31,02/24/2026,Election Commission - Filling the Vacancy in the Office of Member of the Baddegama Pradeshiya Sabha,2477_31.pdf,Downloaded,
2477/01,02/23/2026,Sri Lanka Customs - Rates of Exchange with effect from 23.02.2026 01.03.2026,2477_01.pdf,Downloaded,
2477/02,02/23/2026,Ministry of Ports and Civil Aviation - Merchant Shipping ( preventing Collisions of Sea) Regulation No 01 of 2026,2477_02.pdf,Missing,
2477/03,02/23/2026,Ruwanwella Pradeshiya Sabha - Roads and Paths 2 nd Gazette,2477_03.pdf,Downloaded,
2477/04,02/23/2026,"Land Acquisition - Yapamma, Udagama ,Lunugala D/S/D, Badulla DIstrict",2477_04.pdf,Downloaded,
2477/05,02/23/2026,"Land Acquisition - Wedaralalagegedarawatta, Kundasale D/S/D, Kandy District",2477_05.pdf,Downloaded,
2477/06,02/23/2026,"Land Acquisition - Angoda, Mulleriyawa, Kolonnawa D/S/D, Colombo District",2477_06.pdf,Downloaded,
2477/07,02/23/2026,"Land Title Settlement Dept - Magalle, Galle Four Gravets D/S/D, Galle District (25/5514244)",2477_07.pdf,Downloaded,
2477/08,02/23/2026,"Land Title Settlement Dept - Muththettupala, Weligepola D/S/D, Rathnapura District ( 26/5514013)",2477_08.pdf,Downloaded,
2477/09,02/23/2026,"Land Title Settlement Dept - Mampe, Kesbewa D/S/D, Colombo District ( 26/5514019)",2477_09.pdf,Downloaded,
2477/10,02/23/2026,"Land Title Settlement Dept - Part of Bothgalapitiya, Udapalatha D/S/D, Kandy District",2477_10.pdf,Downloaded,
2477/11,02/23/2026,"Land Title Settlement Dept - Pallemulla, Harispattuwa D/S/D, Kandy District ( 26/12000018)",2477_11.pdf,Downloaded,
2477/12,02/23/2026,"Land Title Settlement Dept - Deegithawa, Wariyapola D/S/D, kurunegala District ( 26/1200012)",2477_12.pdf,Downloaded,
2477/13,02/23/2026,"Land Acquisition - Wennawatta and Kiththampahuwa, kolonnawa D/S/D, Colombo District Pahala Athuraliya, Athuraliya D/S/D, Matara District",2477_13.pdf,Downloaded,
2477/14,02/23/2026,"Land Acquisition - Moragammena, Aranayaka D/S/D, Kegalle District Dimbulamure, Wellawaya D/S/D, Moneragala District",2477_14.pdf,Downloaded,
2477/15,02/23/2026,Eravur Urban Council - Eravur Town declared as a Urban Council,2477_15.pdf,Downloaded,
2477/16,02/23/2026,Governor's Secretariat - Sabaragamuwa Sixth Supplementary Financial Statement 2025,2477_16.pdf,Missing,
2477/17,02/23/2026,Governor's Secretariat - Sabaragamuwa Seventh Supplementary Financial Statement - 2025,2477_17.pdf,Downloaded,
2477/18,02/23/2026,Ministry of Labour - Industrial Dispute between Inter Companies Workers Union and Cocacola beverages Sri Lanka,2477_18.pdf,Missing,
2477/19,02/23/2026,"Land Title Settlement Dept - Dihipagoda, Udunuwara D/S/D, Kandy District (26/5514022)",2477_19.pdf,Downloaded,
2477/20,02/23/2026,"Land Title Settlement Dept - Siyambalapitiya, Galigamuwa D/S/D, Kegalle District ( 25/0454)",2477_20.pdf,Downloaded,
2476/45,02/21/2026,"Land Title Settlement Dept - Hunumulla, Divulapitiya D/S/D, Gampaha District (25/55078)",2476_45.pdf,Downloaded,
2476/41,02/20/2026,Election Commission - Filling of a Vacancy in the Office of Member of the Galenbindunuwewa P.S,2476_41.pdf,Downloaded,
2476/42,02/20/2026,Secretariat of the Governor - Eastern Province - Notice Amend the Schedule IO of Notice Published by the Governor of the Eastern Province,2476_42.pdf,Downloaded,
2476/43,02/20/2026,Telecommunications Regulatory Commission of Sri Lanka - Sri Lanka Telecommunication Act No 25 of 1991 - Radio Frequency Licensing (Exemption) Rules,2476_43.pdf,Missing,
2476/44,02/20/2026,Civil Aviation Authority of Sri Lanka - Implementing Standards issued under the Civil Aviation Act No 14 of 2010,2476_44.pdf,Downloaded,
2476/26,02/19/2026,"Land Title Settlement Dept - Homagama , Homagama D/S/D, Colombo District (25/5514265)",2476_26.pdf,Downloaded,
2476/27,02/19/2026,"Land Title Settlement Dept- Kadawedduwa, Devinuwara D/S/D, Matara District (24/14-4-00023)",2476_27.pdf,Downloaded,
2476/28,02/19/2026,"Land Title settlement Dept - Karawdeniya, Ruwanwella D/S/D, Kegalle District ( 24/14-4-00046)",2476_28.pdf,Downloaded,
2476/29,02/19/2026,Land Title Settlement Dept,2476_29.pdf,Downloaded,
2476/30,02/19/2026,"Land Title Settlement Dept - Keerapane , Udapalatha D/S/D, Kandy District (25/0518)",2476_30.pdf,Downloaded,
2476/31,02/19/2026,Land Title Settlement Dept,2476_31.pdf,Downloaded,
2476/32,02/19/2026,"Land Title Settlement Dept- Pallegama, Pannala D/S/D, Kurunegala District (25/14-204-0228)",2476_32.pdf,Downloaded,
