Gazette_No,Date,Description,Expected_Filename,Status,Notes
2477/02,02/23/2026,Ministry of Ports and Civil Aviation - Merchant Shipping ( preventing Collisions of Sea) Regulation No 01 of 2026,2477_02.pdf,Missing,
2477/16,02/23/2026,Governor's Secretariat - Sabaragamuwa Sixth Supplementary Financial Statement 2025,2477_16.pdf,Missing,
2477/18,02/23/2026,Ministry of Labour - Industrial Dispute between Inter Companies Workers Union and Cocacola beverages Sri Lanka,2477_18.pdf,Missing,
2476/43,02/20/2026,Telecommunications Regulatory Commission of Sri Lanka - Sri Lanka Telecommunication Act No 25 of 1991 - Radio Frequency Licensing (Exemption) Rules,2476_43.pdf,Missing,
2476/40,02/19/2026,"Land Title Settlement Dept- Senarathpura , Medirigiriya D/S/D, Polonnaruwa District (25/14-204-00154)",2476_40.pdf,Missing,
2475/40,02/14/2026,"Land Title Settlement Dept- Rambadegalla, Rideegama D/S/D, Kurunegala District (26/5514007)",2475_40.pdf,Missing,
2475/42,02/14/2026,"Land Tittle Settlement Dept - Pathagama, Kuruvita D/S/D, Rathnapura District ( 25/5514292)",2475_42.pdf,Missing,
2475/46,02/14/2026,"Land Title Settlement Dept - Sadamalgama, Rambewa D/S/D, Anuradhapura District (26/120001)",2475_46.pdf,Missing,
2475/02,02/09/2026,Ministry of Labour - Industrial Dispute between Mr. I.D.M. Priyantha and National water Supply and Drainage Board,2475_02.pdf,Missing,
2473/20,01/29/2026,"Ministry of Labour - Industrial Dispute between Ensel Lanka ( Private) Ltd, Ensel Lanka Workers",2473_20.pdf,Missing,
2472/62,01/23/2026,2472/62,2472_62.pdf,Missing,
2472/46,01/22/2026,"Telecommunication Regulatory Commission of Sri Lanka - Sri Lanka Telecommunication Act No, 25 of 1991- Regulations",2472_46.pdf,Missing,
2470/03,01/05/2026,Department of Agrarian Development - Determination of areas of Agricultural Research and Production Assistant,2470_03.pdf,Missing,
2470/07,01/05/2026,Deraniyagala Pradheshiya Sabha - List of Roads and Thoroughfares,2470_07.pdf,Missing,
2469/29,01/01/2026,Ayagama Pradeshiya Sabha - Roads and Narrow Lanes,2469_29.pdf,Missing,
